,2010/1/1,2010/6/30,2010/12/27,2011/6/25,2011/12/22,2012/6/19,2012/12/16,2013/6/14,2013/12/11,2014/6/9,2014/12/6,2015/6/4,2015/12/1,2016/5/29,2016/11/25,2017/5/24,2017/11/20,2018/5/19,2018/11/15,2019/5/14,2019/11/10,2020/5/8,2020/11/4,2021/5/3,2021/10/30,
なんじゃこら大福,264,310,351,402,556,584,599,626,819,740,1010,1320,1900,2390,2540,3350,4860,6350,8170,8610,9910,9530,10200,12100,14000,
茜丸,17300,19000,21800,24300,27400,31800,36100,42900,50800,63200,64300,78300,89700,277000,1510000,1830000,2250000,2740000,3190000,3630000,4150000,4600000,5240000,6220000,6960000,
粟おこし,1010,971,1110,1220,1370,1460,1790,1740,1890,2030,2250,2590,2860,3220,3690,4110,4630,5140,5770,6300,7100,8030,8640,9850,11200,
岩おこし,5530,5630,6290,8140,7530,8470,9470,9770,11700,12000,13700,14200,17000,18300,20200,21500,24000,28000,30700,33700,38900,40600,47300,48900,57400,
面白い恋人,1140000,2100000,3850000,3550000,4060000,4090000,4430000,4630000,4450000,4520000,5480000,5990000,5410000,5630000,6320000,6410000,7600000,6970000,7050000,7800000,8750000,8710000,10900000,13000000,13400000,
ちんちん電車もなか,597,639,752,951,1040,1060,1200,1260,1450,1500,1670,2080,2360,2690,3350,3900,4460,5320,6090,7210,8250,9490,11300,13000,15900,
阿闍梨餅,1180,1330,1470,1860,1780,2010,2470,2450,2870,3640,3450,3840,4170,4940,5190,7540,9180,11900,11400,13500,13300,15000,15000,16200,18400,
あぶり餅,1530,1930,2430,2270,2530,3020,3100,3550,3760,4340,4630,6020,6410,6460,7900,9910,12800,16300,20200,23100,30800,27400,30000,35100,37900,
叡電さぶれ,277,203,286,359,237,248,310,289,309,329,357,441,386,452,444,476,537,581,629,665,711,763,813,860,913,
きぬた+%28和菓子%29,922,1060,1170,1330,1540,1760,2200,2080,2220,2550,2670,3240,3610,4270,4630,5310,8370,15200,18200,17300,18700,21300,24000,29100,30000,
五色豆,8030,8990,10000,10900,11900,13700,14800,16200,18100,20200,22900,26300,30600,35000,40100,46500,54100,64400,74300,82800,94900,105000,262000,1220000,1500000,
真盛豆,91,97,126,144,153,169,176,228,210,277,299,329,364,400,455,515,568,643,710,829,976,1080,1310,1530,1520,
州浜,1140,1410,1590,1650,1810,2070,2760,2620,2650,3810,3130,3680,3700,4830,5160,5740,6940,7990,8640,9220,10100,11500,11600,13300,14300,
味噌松風,1160,1390,1560,2020,1940,2270,2440,3680,4010,4730,5610,5460,6690,6660,7680,9680,10900,11500,13400,14100,15800,18400,21000,21400,23700,
八ツ橋,6570,6630,7230,8660,8370,10000,10600,11300,14000,13600,15400,18900,21600,26000,32000,37600,47600,61800,60800,69400,82300,76800,93900,106000,99000,
落雁,9040,9990,12800,14100,15700,17300,18900,20600,23300,25500,29200,36200,38000,49400,52100,60800,73200,95900,154000,652000,1500000,1650000,1700000,2070000,2050000,
青丹よし,3870,4380,4810,5760,6020,6780,7670,8290,9660,10200,11000,12500,13100,14300,15700,18600,19400,22200,25000,29500,36300,41600,49100,55200,62300,
お水取りの椿菓子,4580,5310,5990,6780,7460,10700,9710,11600,11200,14300,15300,17300,20400,26100,27400,35800,42600,42800,58900,65800,74900,86300,96300,101000,104000,
きみごろも,5260,5810,6400,8560,8970,10500,12000,13700,14700,17500,18400,19300,24800,25800,25500,33800,38100,44700,57300,58900,76100,79200,89200,103000,425000,
葛菓子,10400,11800,13400,15000,17000,19700,20100,22800,28700,30200,34600,35600,39100,45800,53100,62700,78400,93700,115000,113000,126000,156000,188000,199000,218000,
伊勢屋本店,15000,16800,19300,21300,23400,27800,31700,35900,40900,45300,50900,59000,68800,77800,92500,193000,1160000,1590000,1750000,1810000,1910000,2040000,2230000,2560000,2860000,
瓦せんべい,860,1150,1260,1540,1740,1960,1860,2180,2280,2500,2900,3840,4920,6030,7260,9370,9710,11200,12700,13300,14400,17300,16900,18500,21100,
